conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username
23,2025-03-13,191,Naruto is the best anime ever!,23,,,en,,0,11,17,,23,@weeblife
24,2025-03-13,247,Team 7 reunion hits hard every time.,24,,,en,,0,20,38,,24,@otakucorner
25,2025-03-15,240,Shikamaru is seriously underrated.,25,,,en,,0,10,39,,25,@leafshinobi
26,2025-03-11,130,Team 7 reunion hits hard every time.,26,,,en,,0,12,22,,26,@weeblife
27,2025-03-08,183,Shikamaru is seriously underrated.,27,,,en,,0,0,41,,27,@konoha_daily
28,2025-03-13,169,Naruto's story is so inspirational.,28,,,en,,0,14,9,,28,@naruto_fan
29,2025-03-15,200,Shikamaru is seriously underrated.,29,,,en,,0,5,36,,29,@leafshinobi
30,2025-03-08,142,Team 7 reunion hits hard every time.,30,,,en,,0,2,30,,30,@ramenlover
31,2025-03-11,140,Ichiraku Ramen looks so good 😭,31,,,en,,0,5,21,,31,@leafshinobi
32,2025-03-09,219,Rewatching Naruto for the 5th time this year!,32,,,en,,0,11,29,,32,@anime_binger
33,2025-03-10,246,Hidden Leaf Village has the best ninjas.,33,,,en,,0,11,24,,33,@konoha_daily
34,2025-03-08,149,Shikamaru is seriously underrated.,34,,,en,,0,6,30,,34,@ramenlover
35,2025-03-18,80,Throwback to Naruto vs. Pain fight 😭,35,,,en,,0,14,9,,35,@ramenlover
36,2025-03-08,238,Sasuke > Naruto. Fight me.,36,,,en,,0,6,21,,36,@weeblife
37,2025-03-14,193,Naruto openings are elite 🔥,37,,,en,,0,15,48,,37,@konoha_daily
38,2025-03-17,115,Shikamaru is seriously underrated.,38,,,en,,0,10,38,,38,@animevibes
39,2025-03-12,291,Ichiraku Ramen looks so good 😭,39,,,en,,0,6,36,,39,@ramenlover
40,2025-03-14,295,Rewatching Naruto for the 5th time this year!,40,,,en,,0,7,13,,40,@weeblife
41,2025-03-13,131,Ichiraku Ramen looks so good 😭,41,,,en,,0,6,6,,41,@anime_binger
42,2025-03-11,115,Throwback to Naruto vs. Pain fight 😭,42,,,en,,0,6,26,,42,@sasuke_uchiha
43,2025-03-08,90,Naruto is the best anime ever!,43,,,en,,0,5,37,,43,@otakucorner
44,2025-03-15,259,Hidden Leaf Village has the best ninjas.,44,,,en,,0,18,38,,44,@otakucorner
45,2025-03-15,164,Naruto's story is so inspirational.,45,,,en,,0,2,14,,45,@leafshinobi
46,2025-03-16,62,Hidden Leaf Village has the best ninjas.,46,,,en,,0,13,12,,46,@animevibes
47,2025-03-11,194,Throwback to Naruto vs. Pain fight 😭,47,,,en,,0,20,20,,47,@team7fan
48,2025-03-18,86,Shikamaru is seriously underrated.,48,,,en,,0,15,11,,48,@weeblife
49,2025-03-17,13,Sasuke > Naruto. Fight me.,49,,,en,,0,0,48,,49,@leafshinobi
50,2025-03-11,128,Rewatching Naruto for the 5th time this year!,50,,,en,,0,15,12,,50,@otakucorner
51,2025-03-09,167,Shikamaru is seriously underrated.,51,,,en,,0,16,7,,51,@naruto_fan
52,2025-03-09,123,Shikamaru is seriously underrated.,52,,,en,,0,17,30,,52,@leafshinobi
53,2025-03-15,214,Sasuke > Naruto. Fight me.,53,,,en,,0,2,38,,53,@otakucorner
54,2025-03-15,126,Ichiraku Ramen looks so good 😭,54,,,en,,0,16,30,,54,@sasuke_uchiha
55,2025-03-15,76,Naruto openings are elite 🔥,55,,,en,,0,9,24,,55,@weeblife
56,2025-03-17,237,Team 7 reunion hits hard every time.,56,,,en,,0,19,41,,56,@team7fan
57,2025-03-12,205,Hidden Leaf Village has the best ninjas.,57,,,en,,0,7,18,,57,@naruto_fan
58,2025-03-17,38,Naruto is the best anime ever!,58,,,en,,0,13,20,,58,@konoha_daily
59,2025-03-14,144,Naruto openings are elite 🔥,59,,,en,,0,16,16,,59,@ramenlover
60,2025-03-09,189,Shikamaru is seriously underrated.,60,,,en,,0,16,46,,60,@animevibes
61,2025-03-18,145,Ichiraku Ramen looks so good 😭,61,,,en,,0,17,17,,61,@anime_binger
62,2025-03-12,11,Rewatching Naruto for the 5th time this year!,62,,,en,,0,10,39,,62,@otakucorner
63,2025-03-11,295,Sasuke > Naruto. Fight me.,63,,,en,,0,17,34,,63,@sasuke_uchiha
64,2025-03-10,129,Rewatching Naruto for the 5th time this year!,64,,,en,,0,19,15,,64,@naruto_fan
65,2025-03-10,127,Naruto openings are elite 🔥,65,,,en,,0,4,15,,65,@team7fan
66,2025-03-14,188,Hidden Leaf Village has the best ninjas.,66,,,en,,0,17,37,,66,@team7fan
67,2025-03-16,15,Shikamaru is seriously underrated.,67,,,en,,0,17,47,,67,@anime_binger
68,2025-03-18,153,Sasuke > Naruto. Fight me.,68,,,en,,0,10,6,,68,@sasuke_uchiha
69,2025-03-12,135,Ichiraku Ramen looks so good 😭,69,,,en,,0,18,17,,69,@otakucorner
70,2025-03-13,131,Naruto's story is so inspirational.,70,,,en,,0,11,11,,70,@team7fan
71,2025-03-18,112,Team 7 reunion hits hard every time.,71,,,en,,0,3,47,,71,@team7fan
72,2025-03-14,97,Hidden Leaf Village has the best ninjas.,72,,,en,,0,14,39,,72,@konoha_daily
73,2025-03-09,17,Sasuke > Naruto. Fight me.,73,,,en,,0,18,50,,73,@animevibes
74,2025-03-10,24,Shikamaru is seriously underrated.,74,,,en,,0,9,20,,74,@sasuke_uchiha
75,2025-03-09,189,Naruto is the best anime ever!,75,,,en,,0,9,27,,75,@leafshinobi
76,2025-03-14,234,Hidden Leaf Village has the best ninjas.,76,,,en,,0,17,12,,76,@konoha_daily
77,2025-03-16,85,Rewatching Naruto for the 5th time this year!,77,,,en,,0,16,6,,77,@konoha_daily
78,2025-03-18,242,Team 7 reunion hits hard every time.,78,,,en,,0,0,5,,78,@animevibes
79,2025-03-14,44,Shikamaru is seriously underrated.,79,,,en,,0,15,26,,79,@sasuke_uchiha
80,2025-03-14,209,Team 7 reunion hits hard every time.,80,,,en,,0,15,37,,80,@team7fan
81,2025-03-14,66,Ichiraku Ramen looks so good 😭,81,,,en,,0,5,35,,81,@sasuke_uchiha
82,2025-03-08,205,Ichiraku Ramen looks so good 😭,82,,,en,,0,2,36,,82,@team7fan
83,2025-03-15,214,Naruto is the best anime ever!,83,,,en,,0,16,28,,83,@otakucorner
84,2025-03-15,253,Shikamaru is seriously underrated.,84,,,en,,0,2,17,,84,@anime_binger
85,2025-03-13,278,Hidden Leaf Village has the best ninjas.,85,,,en,,0,15,19,,85,@sasuke_uchiha
86,2025-03-16,163,Throwback to Naruto vs. Pain fight 😭,86,,,en,,0,0,19,,86,@anime_binger
87,2025-03-09,212,Naruto's story is so inspirational.,87,,,en,,0,2,27,,87,@otakucorner
88,2025-03-17,151,Sasuke > Naruto. Fight me.,88,,,en,,0,14,28,,88,@konoha_daily
89,2025-03-13,61,Rewatching Naruto for the 5th time this year!,89,,,en,,0,18,19,,89,@sasuke_uchiha
90,2025-03-14,282,Naruto openings are elite 🔥,90,,,en,,0,4,31,,90,@anime_binger
91,2025-03-08,92,Naruto's story is so inspirational.,91,,,en,,0,12,34,,91,@leafshinobi
92,2025-03-11,286,Naruto's story is so inspirational.,92,,,en,,0,0,19,,92,@team7fan
93,2025-03-08,58,Naruto openings are elite 🔥,93,,,en,,0,0,50,,93,@weeblife
94,2025-03-17,252,Team 7 reunion hits hard every time.,94,,,en,,0,1,13,,94,@animevibes
95,2025-03-08,194,Naruto openings are elite 🔥,95,,,en,,0,3,19,,95,@naruto_fan
96,2025-03-09,167,Naruto is the best anime ever!,96,,,en,,0,15,25,,96,@leafshinobi
97,2025-03-08,254,Naruto is the best anime ever!,97,,,en,,0,16,11,,97,@sasuke_uchiha
98,2025-03-08,26,Throwback to Naruto vs. Pain fight 😭,98,,,en,,0,0,14,,98,@otakucorner
99,2025-03-14,283,Team 7 reunion hits hard every time.,99,,,en,,0,13,40,,99,@team7fan
100,2025-03-11,297,Ichiraku Ramen looks so good 😭,100,,,en,,0,3,49,,100,@leafshinobi
101,2025-03-11,232,Naruto openings are elite 🔥,101,,,en,,0,5,29,,101,@team7fan
102,2025-03-15,266,Naruto openings are elite 🔥,102,,,en,,0,1,43,,102,@ramenlover
103,2025-03-11,261,Rewatching Naruto for the 5th time this year!,103,,,en,,0,13,5,,103,@otakucorner
104,2025-03-13,175,Throwback to Naruto vs. Pain fight 😭,104,,,en,,0,7,36,,104,@sasuke_uchiha
105,2025-03-14,230,Naruto's story is so inspirational.,105,,,en,,0,11,21,,105,@anime_binger
106,2025-03-09,46,Ichiraku Ramen looks so good 😭,106,,,en,,0,15,7,,106,@team7fan
107,2025-03-17,86,Naruto is the best anime ever!,107,,,en,,0,14,48,,107,@team7fan
108,2025-03-16,243,Throwback to Naruto vs. Pain fight 😭,108,,,en,,0,9,38,,108,@otakucorner
109,2025-03-17,85,Team 7 reunion hits hard every time.,109,,,en,,0,19,32,,109,@leafshinobi
110,2025-03-18,189,Team 7 reunion hits hard every time.,110,,,en,,0,17,16,,110,@sasuke_uchiha
111,2025-03-15,42,Naruto is the best anime ever!,111,,,en,,0,18,50,,111,@weeblife
112,2025-03-13,296,Naruto's story is so inspirational.,112,,,en,,0,1,10,,112,@animevibes
113,2025-03-09,205,Team 7 reunion hits hard every time.,113,,,en,,0,3,21,,113,@otakucorner
114,2025-03-16,250,Throwback to Naruto vs. Pain fight 😭,114,,,en,,0,19,47,,114,@konoha_daily
115,2025-03-12,202,Shikamaru is seriously underrated.,115,,,en,,0,12,17,,115,@otakucorner
116,2025-03-13,219,Naruto is the best anime ever!,116,,,en,,0,18,36,,116,@leafshinobi
117,2025-03-15,267,Naruto's story is so inspirational.,117,,,en,,0,19,24,,117,@konoha_daily
118,2025-03-11,34,Naruto is the best anime ever!,118,,,en,,0,16,36,,118,@sasuke_uchiha
119,2025-03-16,239,Naruto openings are elite 🔥,119,,,en,,0,20,7,,119,@sasuke_uchiha
120,2025-03-18,276,Sasuke > Naruto. Fight me.,120,,,en,,0,2,35,,120,@animevibes
121,2025-03-15,295,Hidden Leaf Village has the best ninjas.,121,,,en,,0,19,43,,121,@anime_binger
122,2025-03-16,259,Throwback to Naruto vs. Pain fight 😭,122,,,en,,0,11,40,,122,@ramenlover
123,2025-03-13,20,Team 7 reunion hits hard every time.,123,,,en,,0,0,6,,123,@otakucorner
124,2025-03-12,192,Hidden Leaf Village has the best ninjas.,124,,,en,,0,0,34,,124,@team7fan
125,2025-03-09,224,Sasuke > Naruto. Fight me.,125,,,en,,0,19,26,,125,@sasuke_uchiha
126,2025-03-13,65,Team 7 reunion hits hard every time.,126,,,en,,0,18,43,,126,@sasuke_uchiha
127,2025-03-14,129,Ichiraku Ramen looks so good 😭,127,,,en,,0,11,20,,127,@sasuke_uchiha
128,2025-03-17,173,Naruto openings are elite 🔥,128,,,en,,0,0,44,,128,@leafshinobi
129,2025-03-09,85,Hidden Leaf Village has the best ninjas.,129,,,en,,0,17,15,,129,@team7fan
130,2025-03-18,140,Naruto's story is so inspirational.,130,,,en,,0,0,42,,130,@ramenlover
131,2025-03-08,33,Rewatching Naruto for the 5th time this year!,131,,,en,,0,5,30,,131,@sasuke_uchiha
132,2025-03-15,216,Hidden Leaf Village has the best ninjas.,132,,,en,,0,8,8,,132,@leafshinobi
133,2025-03-17,73,Naruto is the best anime ever!,133,,,en,,0,15,32,,133,@weeblife
134,2025-03-13,247,Shikamaru is seriously underrated.,134,,,en,,0,15,36,,134,@otakucorner
135,2025-03-09,25,Team 7 reunion hits hard every time.,135,,,en,,0,19,9,,135,@anime_binger
136,2025-03-16,240,Naruto is the best anime ever!,136,,,en,,0,3,32,,136,@naruto_fan
137,2025-03-11,206,Throwback to Naruto vs. Pain fight 😭,137,,,en,,0,20,6,,137,@team7fan
138,2025-03-12,275,Throwback to Naruto vs. Pain fight 😭,138,,,en,,0,3,50,,138,@naruto_fan
139,2025-03-10,285,Naruto is the best anime ever!,139,,,en,,0,20,22,,139,@sasuke_uchiha
140,2025-03-10,288,Ichiraku Ramen looks so good 😭,140,,,en,,0,1,42,,140,@anime_binger
141,2025-03-08,287,Naruto's story is so inspirational.,141,,,en,,0,18,6,,141,@otakucorner
142,2025-03-13,259,Shikamaru is seriously underrated.,142,,,en,,0,0,14,,142,@team7fan
143,2025-03-11,79,Sasuke > Naruto. Fight me.,143,,,en,,0,13,27,,143,@otakucorner
144,2025-03-10,244,Team 7 reunion hits hard every time.,144,,,en,,0,9,19,,144,@leafshinobi
145,2025-03-17,52,Sasuke > Naruto. Fight me.,145,,,en,,0,16,48,,145,@konoha_daily
146,2025-03-12,57,Shikamaru is seriously underrated.,146,,,en,,0,12,12,,146,@ramenlover
147,2025-03-11,279,Rewatching Naruto for the 5th time this year!,147,,,en,,0,14,13,,147,@team7fan
148,2025-03-11,248,Sasuke > Naruto. Fight me.,148,,,en,,0,16,16,,148,@otakucorner
149,2025-03-10,266,Hidden Leaf Village has the best ninjas.,149,,,en,,0,20,39,,149,@leafshinobi
150,2025-03-08,292,Team 7 reunion hits hard every time.,150,,,en,,0,18,13,,150,@sasuke_uchiha
151,2025-03-18,159,Naruto's story is so inspirational.,151,,,en,,0,16,6,,151,@konoha_daily
152,2025-03-12,256,Naruto openings are elite 🔥,152,,,en,,0,19,47,,152,@animevibes
153,2025-03-16,108,Sasuke > Naruto. Fight me.,153,,,en,,0,5,23,,153,@sasuke_uchiha
154,2025-03-15,273,Ichiraku Ramen looks so good 😭,154,,,en,,0,13,25,,154,@weeblife
155,2025-03-08,264,Naruto is the best anime ever!,155,,,en,,0,12,20,,155,@naruto_fan
156,2025-03-15,294,Rewatching Naruto for the 5th time this year!,156,,,en,,0,10,12,,156,@konoha_daily
157,2025-03-13,55,Shikamaru is seriously underrated.,157,,,en,,0,13,12,,157,@sasuke_uchiha
158,2025-03-16,48,Naruto openings are elite 🔥,158,,,en,,0,13,44,,158,@team7fan
159,2025-03-10,265,Throwback to Naruto vs. Pain fight 😭,159,,,en,,0,5,27,,159,@naruto_fan
160,2025-03-11,278,Ichiraku Ramen looks so good 😭,160,,,en,,0,15,15,,160,@team7fan
161,2025-03-10,138,Naruto is the best anime ever!,161,,,en,,0,3,31,,161,@animevibes
162,2025-03-11,138,Naruto openings are elite 🔥,162,,,en,,0,0,46,,162,@otakucorner
163,2025-03-16,142,Naruto's story is so inspirational.,163,,,en,,0,17,49,,163,@sasuke_uchiha
164,2025-03-12,268,Throwback to Naruto vs. Pain fight 😭,164,,,en,,0,7,47,,164,@leafshinobi
165,2025-03-08,143,Throwback to Naruto vs. Pain fight 😭,165,,,en,,0,7,29,,165,@leafshinobi
166,2025-03-11,110,Team 7 reunion hits hard every time.,166,,,en,,0,6,41,,166,@ramenlover
167,2025-03-14,187,Hidden Leaf Village has the best ninjas.,167,,,en,,0,17,37,,167,@sasuke_uchiha
168,2025-03-13,223,Rewatching Naruto for the 5th time this year!,168,,,en,,0,4,27,,168,@leafshinobi
169,2025-03-14,198,Naruto's story is so inspirational.,169,,,en,,0,3,41,,169,@animevibes
170,2025-03-08,14,Naruto's story is so inspirational.,170,,,en,,0,12,43,,170,@anime_binger
171,2025-03-18,213,Rewatching Naruto for the 5th time this year!,171,,,en,,0,5,42,,171,@anime_binger
172,2025-03-16,116,Hidden Leaf Village has the best ninjas.,172,,,en,,0,11,44,,172,@weeblife
173,2025-03-14,138,Throwback to Naruto vs. Pain fight 😭,173,,,en,,0,6,11,,173,@weeblife
174,2025-03-12,43,Team 7 reunion hits hard every time.,174,,,en,,0,6,28,,174,@otakucorner
175,2025-03-11,106,Hidden Leaf Village has the best ninjas.,175,,,en,,0,4,30,,175,@konoha_daily
176,2025-03-11,274,Shikamaru is seriously underrated.,176,,,en,,0,2,10,,176,@anime_binger
177,2025-03-16,52,Team 7 reunion hits hard every time.,177,,,en,,0,10,6,,177,@team7fan
178,2025-03-15,284,Hidden Leaf Village has the best ninjas.,178,,,en,,0,16,26,,178,@leafshinobi
179,2025-03-12,20,Throwback to Naruto vs. Pain fight 😭,179,,,en,,0,18,36,,179,@weeblife
180,2025-03-16,291,Throwback to Naruto vs. Pain fight 😭,180,,,en,,0,9,27,,180,@sasuke_uchiha
181,2025-03-08,245,Ichiraku Ramen looks so good 😭,181,,,en,,0,6,32,,181,@anime_binger
182,2025-03-13,43,Ichiraku Ramen looks so good 😭,182,,,en,,0,13,17,,182,@team7fan
183,2025-03-11,287,Naruto is the best anime ever!,183,,,en,,0,12,33,,183,@otakucorner
184,2025-03-18,273,Shikamaru is seriously underrated.,184,,,en,,0,5,15,,184,@konoha_daily
185,2025-03-18,148,Naruto's story is so inspirational.,185,,,en,,0,16,24,,185,@naruto_fan
186,2025-03-12,203,Ichiraku Ramen looks so good 😭,186,,,en,,0,12,10,,186,@weeblife
187,2025-03-13,40,Team 7 reunion hits hard every time.,187,,,en,,0,18,36,,187,@leafshinobi
188,2025-03-14,130,Hidden Leaf Village has the best ninjas.,188,,,en,,0,0,23,,188,@naruto_fan
189,2025-03-12,134,Naruto's story is so inspirational.,189,,,en,,0,16,5,,189,@ramenlover
190,2025-03-14,23,Rewatching Naruto for the 5th time this year!,190,,,en,,0,0,19,,190,@animevibes
191,2025-03-13,24,Naruto's story is so inspirational.,191,,,en,,0,6,21,,191,@konoha_daily
192,2025-03-17,86,Hidden Leaf Village has the best ninjas.,192,,,en,,0,0,47,,192,@animevibes
193,2025-03-15,93,Sasuke > Naruto. Fight me.,193,,,en,,0,9,43,,193,@anime_binger
194,2025-03-16,298,Rewatching Naruto for the 5th time this year!,194,,,en,,0,6,14,,194,@otakucorner
195,2025-03-18,149,Shikamaru is seriously underrated.,195,,,en,,0,19,29,,195,@ramenlover
196,2025-03-11,121,Naruto is the best anime ever!,196,,,en,,0,16,33,,196,@naruto_fan
197,2025-03-14,146,Naruto's story is so inspirational.,197,,,en,,0,8,33,,197,@leafshinobi
198,2025-03-15,298,Shikamaru is seriously underrated.,198,,,en,,0,6,10,,198,@ramenlover
199,2025-03-17,129,Naruto openings are elite 🔥,199,,,en,,0,17,34,,199,@konoha_daily
200,2025-03-10,149,Naruto openings are elite 🔥,200,,,en,,0,11,16,,200,@sasuke_uchiha
